Scam Category,Tag Family,Example Phrase,Confidence,Suggested Score Lift,Why It Matters,Use With Context,Primary Sources
"Account Takeover via Phone Compromise","phone_takeover_or_sim_swap","I lost my phone and changed my number","High","+14 to +20","Criminals often use phone loss or number changes as part of SIM swap account takeover.","Combine with new payee, unusual transfers, profile changes, or 2FA issues. Verify customer using known contact information.","FBI Cybercrime; FTC Identity Theft; FinCEN SAR Data"
"Account Takeover via Phone Compromise","phone_takeover_or_sim_swap","My phone suddenly had no service","High","+14 to +20","Unexpected loss of service can indicate the phone number was moved to another SIM or carrier account.","Use with login anomalies, customer confusion, or attempted password resets. Contact the carrier if appropriate.","FBI Cybercrime; FTC Identity Theft; FinCEN SAR Data"
"Account Takeover via Phone Compromise","phone_takeover_or_sim_swap","The carrier said my SIM was changed","Very High","+14 to +20","A SIM change can let a criminal intercept banking authentication codes.","Use with recent profile changes, password resets, or new device activity. Escalate if money movement follows.","FBI Cybercrime; FTC Identity Theft; FinCEN SAR Data"
"Account Takeover via Phone Compromise","phone_takeover_or_sim_swap","My phone number was ported without permission","Very High","+14 to +20","Unauthorized number porting is a strong account takeover signal.","Use with failed 2FA, new payees, or digital banking changes. Verify identity out of band.","FBI Cybercrime; FTC Identity Theft; FinCEN SAR Data"
"Account Takeover via Phone Compromise","phone_takeover_or_sim_swap","I received a SIM change notification","High","+14 to +20","A carrier SIM change notification can indicate account compromise or attempted compromise.","Use with suspicious login timing, profile updates, or customer reports of missing texts.","FBI Cybercrime; FTC Identity Theft; FinCEN SAR Data"
"Account Takeover via Phone Compromise","phone_takeover_or_sim_swap","I got a two factor code I did not request","Very High","+14 to +20","Unrequested authentication codes can mean someone is attempting to access the customer's account.","Use with login attempts, credential resets, or new device alerts. Recommend credential reset if needed.","FBI Cybercrime; FTC Identity Theft; FinCEN SAR Data"
"Account Takeover via Phone Compromise","phone_takeover_or_sim_swap","Authentication codes stopped coming to my phone","High","+14 to +20","Missing security codes after phone issues may mean codes are being intercepted elsewhere.","Use with recent carrier changes or failed login attempts. Confirm phone ownership before changes.","FBI Cybercrime; FTC Identity Theft; FinCEN SAR Data"
"Account Takeover via Phone Compromise","phone_takeover_or_sim_swap","A new device logged in after my phone changed","Very High","+14 to +20","New device access after phone changes is a strong digital compromise pattern.","Use with new payees, outgoing transfers, or profile edits. Consider temporary holds or step-up verification.","FBI Cybercrime; FTC Identity Theft; FinCEN SAR Data"
"Account Takeover via Phone Compromise","phone_takeover_or_sim_swap","My carrier account password was changed","High","+14 to +20","Carrier account takeover can precede banking account takeover.","Use with phone number changes, authentication failures, and attempted online banking access.","FBI Cybercrime; FTC Identity Theft; FinCEN SAR Data"
"Account Takeover via Phone Compromise","phone_takeover_or_sim_swap","Someone tried to move my phone number","Very High","+14 to +20","Attempted number movement can indicate a SIM swap or port-out fraud attempt.","Use with any money movement request. Verify identity and document carrier details.","FBI Cybercrime; FTC Identity Theft; FinCEN SAR Data"
"Healthcare or Insurance Fraud","healthcare_fraud_or_medical_urgency","My doctor said I need to pay for treatment immediately","Medium to High","+12 to +18","Healthcare urgency can pressure customers into immediate payments before verification.","Combine with wire, ACH, gift card, or crypto requests. Verify with provider using a known phone number.","FTC Healthcare Scams; FBI Medicare Fraud; AARP Healthcare Fraud"
"Healthcare or Insurance Fraud","healthcare_fraud_or_medical_urgency","Hospital billing called and demanded payment today","Medium to High","+12 to +18","Urgent hospital billing calls can be impersonation attempts, especially when payment method is unusual.","Use with new payee or urgency language. Ask customer to call the hospital number on an official statement.","FTC Healthcare Scams; FBI Medicare Fraud; AARP Healthcare Fraud"
"Healthcare or Insurance Fraud","healthcare_fraud_or_medical_urgency","The insurance company said coverage will be cancelled today","Medium to High","+12 to +18","Threatening loss of coverage can create pressure for fast payment or credential sharing.","Use with caller ID spoofing, payment urgency, or requests for banking credentials.","FTC Healthcare Scams; FBI Medicare Fraud; AARP Healthcare Fraud"
"Healthcare or Insurance Fraud","healthcare_fraud_or_medical_urgency","Medicare called asking for my bank account","High","+12 to +18","Medicare impersonation commonly targets older customers for bank details or identity information.","Use with senior clients, SSN requests, or account verification language. Verify through official Medicare channels.","FTC Healthcare Scams; FBI Medicare Fraud; AARP Healthcare Fraud"
"Healthcare or Insurance Fraud","healthcare_fraud_or_medical_urgency","Medicaid needs a payment before benefits continue","Medium to High","+12 to +18","Benefit-continuation threats can be used to steal payments or personal information.","Use with urgency, prepaid cards, wire transfers, or requests for account information.","FTC Healthcare Scams; FBI Medicare Fraud; AARP Healthcare Fraud"
"Healthcare or Insurance Fraud","healthcare_fraud_or_medical_urgency","The pharmacy said I must pay the copay by wire","High","+12 to +18","Wire payment for a pharmacy copay is unusual and may indicate impersonation.","Use with new payee, unusual payment method, or caller pressure. Verify with the pharmacy directly.","FTC Healthcare Scams; FBI Medicare Fraud; AARP Healthcare Fraud"
"Healthcare or Insurance Fraud","healthcare_fraud_or_medical_urgency","My medical test results require a payment first","Medium to High","+12 to +18","Scammers may use sensitive medical topics to pressure victims into fast payments.","Use with links, new portals, or requests for card/bank information. Confirm through the provider portal or known phone number.","FTC Healthcare Scams; FBI Medicare Fraud; AARP Healthcare Fraud"
"Healthcare or Insurance Fraud","healthcare_fraud_or_medical_urgency","The telehealth provider asked for gift cards","High","+12 to +18","Gift card payment is inconsistent with legitimate medical billing.","Use as a high-risk signal when paired with urgent medical language. Warn customer before funds leave.","FTC Healthcare Scams; FBI Medicare Fraud; AARP Healthcare Fraud"
"Healthcare or Insurance Fraud","healthcare_fraud_or_medical_urgency","Treatment will be delayed if I do not send money","Medium to High","+12 to +18","Delay threats create emotional pressure and can bypass normal verification habits.","Use with urgent transfer requests or third-party payment instructions. Verify provider independently.","FTC Healthcare Scams; FBI Medicare Fraud; AARP Healthcare Fraud"
